X,Y,Z,SegmentIndex,PointIndex
9107.75676772443,-4129.09564534525,0,0,0
9047.03854774019,-4101.56852769029,0,0,1
8986.32032775594,-4074.04141003534,0,0,2
8925.6021077717,-4046.51429238039,0,0,3
8864.88388778746,-4018.98717472543,0,0,4
8804.16566780322,-3991.46005707048,0,0,5
8743.44744781897,-3963.93293941553,0,0,6
8682.72922783473,-3936.40582176058,0,0,7
8622.01100785049,-3908.87870410562,0,0,8
8561.29278786625,-3881.35158645067,0,0,9
8500.57456788201,-3853.82446879572,0,0,10
8439.85634789776,-3826.29735114076,0,0,11
8379.13812791352,-3798.77023348581,0,0,12
8318.41990792928,-3771.24311583086,0,0,13
8257.70168794504,-3743.7159981759,0,0,14
8196.98346796079,-3716.18888052095,0,0,15
8136.26524797655,-3688.661762866,0,0,16
8075.54702799231,-3661.13464521105,0,0,17
8014.82880800807,-3633.60752755609,0,0,18
7954.11058802383,-3606.08040990114,0,0,19
7893.39236803958,-3578.55329224619,0,0,20
7832.67414805534,-3551.02617459123,0,0,21
7771.9559280711,-3523.49905693628,0,0,22
7711.23770808686,-3495.97193928133,0,0,23
7650.51948810261,-3468.44482162638,0,0,24
7589.80126811837,-3440.91770397142,0,0,25
7529.08304813413,-3413.39058631647,0,0,26
7468.36482814989,-3385.86346866152,0,0,27
7407.64660816564,-3358.33635100656,0,0,28
7346.9283881814,-3330.80923335161,0,0,29
7286.21016819716,-3303.28211569666,0,0,30
7225.49194821292,-3275.75499804171,0,0,31
7164.77372822868,-3248.22788038675,0,0,32
7104.05550824443,-3220.7007627318,0,0,33
7043.33728826019,-3193.17364507685,0,0,34
6982.61906827595,-3165.64652742189,0,0,35
6921.90084829171,-3138.11940976694,0,0,36
6861.18262830747,-3110.59229211199,0,0,37
6800.46440832322,-3083.06517445704,0,0,38
6739.74618833898,-3055.53805680208,0,0,39
6679.02796835474,-3028.01093914713,0,0,40
6618.3097483705,-3000.48382149218,0,0,41
6557.59152838625,-2972.95670383722,0,0,42
6496.87330840201,-2945.42958618227,0,0,43
6436.15508841777,-2917.90246852732,0,0,44
6375.43686843353,-2890.37535087237,0,0,45
6314.71864844929,-2862.84823321741,0,0,46
6254.00042846504,-2835.32111556246,0,0,47
6193.2822084808,-2807.79399790751,0,0,48
6132.56398849656,-2780.26688025255,0,0,49
6071.84576851232,-2752.7397625976,0,0,50
6011.12754852807,-2725.21264494265,0,0,51
5950.40932854383,-2697.6855272877,0,0,52
5889.69110855959,-2670.15840963274,0,0,53
5828.97288857535,-2642.63129197779,0,0,54
5768.25466859111,-2615.10417432284,0,0,55
5707.53644860686,-2587.57705666788,0,0,56
5646.81822862262,-2560.04993901293,0,0,57
5586.10000863838,-2532.52282135798,0,0,58
5525.38178865414,-2504.99570370302,0,0,59
5464.66356866989,-2477.46858604807,0,0,60
5403.94534868565,-2449.94146839312,0,0,61
5343.22712870141,-2422.41435073817,0,0,62
5282.50890871717,-2394.88723308321,0,0,63
5221.79068873293,-2367.36011542826,0,0,64
5161.07246874868,-2339.83299777331,0,0,65
5100.35424876444,-2312.30588011835,0,0,66
5039.6360287802,-2284.7787624634,0,0,67
4978.91780879596,-2257.25164480845,0,0,68
4918.19958881172,-2229.7245271535,0,0,69
4857.48136882747,-2202.19740949854,0,0,70
4796.76314884323,-2174.67029184359,0,0,71
4736.04492885899,-2147.14317418864,0,0,72
4675.32670887475,-2119.61605653368,0,0,73
4614.6084888905,-2092.08893887873,0,0,74
4553.89026890626,-2064.56182122378,0,0,75
4493.17204892202,-2037.03470356883,0,0,76
4432.45382893778,-2009.50758591387,0,0,77
4371.73560895354,-1981.98046825892,0,0,78
4311.01738896929,-1954.45335060397,0,0,79
4250.29916898505,-1926.92623294901,0,0,80
4189.58094900081,-1899.39911529406,0,0,81
4128.86272901657,-1871.87199763911,0,0,82
4068.14450903233,-1844.34487998416,0,0,83
4007.42628904808,-1816.8177623292,0,0,84
3946.70806906384,-1789.29064467425,0,0,85
3885.9898490796,-1761.7635270193,0,0,86
3825.27162909536,-1734.23640936434,0,0,87
3764.55340911111,-1706.70929170939,0,0,88
3703.83518912687,-1679.18217405444,0,0,89
3643.11696914263,-1651.65505639949,0,0,90
3582.39874915839,-1624.12793874453,0,0,91
3521.68052917415,-1596.60082108958,0,0,92
3460.9623091899,-1569.07370343463,0,0,93
3400.24408920566,-1541.54658577967,0,0,94
3339.52586922142,-1514.01946812472,0,0,95
3278.80764923718,-1486.49235046977,0,0,96
3218.08942925293,-1458.96523281482,0,0,97
3157.37120926869,-1431.43811515986,0,0,98
3096.65298928445,-1403.91099750491,0,0,99
3035.93476930021,-1376.38387984996,0,0,100
2975.21654931597,-1348.856762195,0,0,101
2914.49832933172,-1321.32964454005,0,0,102
2853.78010934748,-1293.8025268851,0,0,103
2793.06188936324,-1266.27540923015,0,0,104
2732.343669379,-1238.74829157519,0,0,105
2671.62544939475,-1211.22117392024,0,0,106
2610.90722941051,-1183.69405626529,0,0,107
2550.18900942627,-1156.16693861033,0,0,108
2489.47078944203,-1128.63982095538,0,0,109
2428.75256945779,-1101.11270330043,0,0,110
2368.03434947354,-1073.58558564548,0,0,111
2307.3161294893,-1046.05846799052,0,0,112
2246.59790950506,-1018.53135033557,0,0,113
2185.87968952082,-991.004232680616,0,0,114
2125.16146953658,-963.477115025663,0,0,115
2064.44324955233,-935.94999737071,0,0,116
2003.72502956809,-908.422879715758,0,0,117
1943.00680958385,-880.895762060805,0,0,118
1882.28858959961,-853.368644405852,0,0,119
1821.57036961536,-825.841526750899,0,0,120
1760.85214963112,-798.314409095946,0,0,121
1700.13392964688,-770.787291440993,0,0,122
1639.41570966264,-743.26017378604,0,0,123
1578.6974896784,-715.733056131087,0,0,124
1517.97926969415,-688.205938476135,0,0,125
1457.26104970991,-660.678820821182,0,0,126
1396.54282972567,-633.151703166229,0,0,127
1335.82460974143,-605.624585511276,0,0,128
1275.10638975718,-578.097467856323,0,0,129
1214.38816977294,-550.57035020137,0,0,130
1153.6699497887,-523.043232546417,0,0,131
1092.95172980446,-495.516114891464,0,0,132
