X,Y,Z,SegmentIndex,PointIndex
-4493.03223815598,8933.75588167068,0,0,0
-4463.07854964982,8874.197330737,0,0,1
-4433.12486114366,8814.63877980331,0,0,2
-4403.1711726375,8755.08022886963,0,0,3
-4373.21748413134,8695.52167793595,0,0,4
-4343.26379562518,8635.96312700226,0,0,5
-4313.31010711901,8576.40457606858,0,0,6
-4283.35641861285,8516.84602513489,0,0,7
-4253.40273010669,8457.28747420121,0,0,8
-4223.44904160053,8397.72892326752,0,0,9
-4193.49535309437,8338.17037233384,0,0,10
-4163.54166458821,8278.61182140015,0,0,11
-4133.58797608205,8219.05327046647,0,0,12
-4103.63428757589,8159.49471953278,0,0,13
-4073.68059906972,8099.9361685991,0,0,14
-4043.72691056356,8040.37761766541,0,0,15
-4013.7732220574,7980.81906673173,0,0,16
-3983.81953355124,7921.26051579805,0,0,17
-3953.86584504508,7861.70196486436,0,0,18
-3923.91215653892,7802.14341393068,0,0,19
-3893.95846803276,7742.58486299699,0,0,20
-3864.0047795266,7683.02631206331,0,0,21
-3834.05109102044,7623.46776112962,0,0,22
-3804.09740251427,7563.90921019594,0,0,23
-3774.14371400811,7504.35065926225,0,0,24
-3744.19002550195,7444.79210832857,0,0,25
-3714.23633699579,7385.23355739488,0,0,26
-3684.28264848963,7325.6750064612,0,0,27
-3654.32895998347,7266.11645552751,0,0,28
-3624.37527147731,7206.55790459383,0,0,29
-3594.42158297115,7146.99935366015,0,0,30
-3564.46789446498,7087.44080272646,0,0,31
-3534.51420595882,7027.88225179277,0,0,32
-3504.56051745266,6968.32370085909,0,0,33
-3474.6068289465,6908.76514992541,0,0,34
-3444.65314044034,6849.20659899172,0,0,35
-3414.69945193418,6789.64804805804,0,0,36
-3384.74576342802,6730.08949712435,0,0,37
-3354.79207492186,6670.53094619067,0,0,38
-3324.83838641569,6610.97239525698,0,0,39
-3294.88469790953,6551.4138443233,0,0,40
-3264.93100940337,6491.85529338961,0,0,41
-3234.97732089721,6432.29674245593,0,0,42
-3205.02363239105,6372.73819152224,0,0,43
-3175.06994388489,6313.17964058856,0,0,44
-3145.11625537873,6253.62108965487,0,0,45
-3115.16256687257,6194.06253872119,0,0,46
-3085.2088783664,6134.5039877875,0,0,47
-3055.25518986024,6074.94543685382,0,0,48
-3025.30150135408,6015.38688592014,0,0,49
-2995.34781284792,5955.82833498645,0,0,50
-2965.39412434176,5896.26978405277,0,0,51
-2935.4404358356,5836.71123311908,0,0,52
-2905.48674732944,5777.1526821854,0,0,53
-2875.53305882328,5717.59413125171,0,0,54
-2845.57937031712,5658.03558031803,0,0,55
-2815.62568181095,5598.47702938434,0,0,56
-2785.67199330479,5538.91847845066,0,0,57
-2755.71830479863,5479.35992751697,0,0,58
-2725.76461629247,5419.80137658329,0,0,59
-2695.81092778631,5360.2428256496,0,0,60
-2665.85723928015,5300.68427471592,0,0,61
-2635.90355077399,5241.12572378223,0,0,62
-2605.94986226783,5181.56717284855,0,0,63
-2575.99617376166,5122.00862191486,0,0,64
-2546.0424852555,5062.45007098118,0,0,65
-2516.08879674934,5002.8915200475,0,0,66
-2486.13510824318,4943.33296911381,0,0,67
-2456.18141973702,4883.77441818013,0,0,68
-2426.22773123086,4824.21586724644,0,0,69
-2396.2740427247,4764.65731631276,0,0,70
-2366.32035421854,4705.09876537907,0,0,71
-2336.36666571237,4645.54021444539,0,0,72
-2306.41297720621,4585.9816635117,0,0,73
-2276.45928870005,4526.42311257802,0,0,74
-2246.50560019389,4466.86456164433,0,0,75
-2216.55191168773,4407.30601071065,0,0,76
-2186.59822318157,4347.74745977696,0,0,77
-2156.64453467541,4288.18890884328,0,0,78
-2126.69084616925,4228.63035790959,0,0,79
-2096.73715766309,4169.07180697591,0,0,80
-2066.78346915692,4109.51325604223,0,0,81
-2036.82978065076,4049.95470510854,0,0,82
-2006.8760921446,3990.39615417486,0,0,83
-1976.92240363844,3930.83760324117,0,0,84
-1946.96871513228,3871.27905230749,0,0,85
-1917.01502662612,3811.7205013738,0,0,86
-1887.06133811996,3752.16195044012,0,0,87
-1857.1076496138,3692.60339950643,0,0,88
-1827.15396110763,3633.04484857275,0,0,89
-1797.20027260147,3573.48629763906,0,0,90
-1767.24658409531,3513.92774670538,0,0,91
-1737.29289558915,3454.36919577169,0,0,92
-1707.33920708299,3394.81064483801,0,0,93
-1677.38551857683,3335.25209390432,0,0,94
-1647.43183007067,3275.69354297064,0,0,95
-1617.47814156451,3216.13499203695,0,0,96
-1587.52445305834,3156.57644110327,0,0,97
-1557.57076455218,3097.01789016959,0,0,98
-1527.61707604602,3037.4593392359,0,0,99
-1497.66338753986,2977.90078830222,0,0,100
-1467.7096990337,2918.34223736853,0,0,101
-1437.75601052754,2858.78368643485,0,0,102
-1407.80232202138,2799.22513550116,0,0,103
-1377.84863351522,2739.66658456748,0,0,104
-1347.89494500905,2680.10803363379,0,0,105
-1317.94125650289,2620.54948270011,0,0,106
-1287.98756799673,2560.99093176642,0,0,107
-1258.03387949057,2501.43238083274,0,0,108
-1228.08019098441,2441.87382989905,0,0,109
-1198.12650247825,2382.31527896537,0,0,110
-1168.17281397209,2322.75672803168,0,0,111
-1138.21912546593,2263.198177098,0,0,112
-1108.26543695977,2203.63962616432,0,0,113
-1078.3117484536,2144.08107523063,0,0,114
-1048.35805994744,2084.52252429695,0,0,115
-1018.40437144128,2024.96397336326,0,0,116
-988.450682935121,1965.40542242958,0,0,117
-958.496994428959,1905.84687149589,0,0,118
-928.543305922798,1846.28832056221,0,0,119
-898.589617416637,1786.72976962852,0,0,120
-868.635928910476,1727.17121869484,0,0,121
-838.682240404314,1667.61266776115,0,0,122
-808.728551898153,1608.05411682747,0,0,123
-778.774863391992,1548.49556589378,0,0,124
-748.821174885831,1488.9370149601,0,0,125
-718.86748637967,1429.37846402641,0,0,126
-688.913797873509,1369.81991309273,0,0,127
-658.960109367347,1310.26136215905,0,0,128
-629.006420861186,1250.70281122536,0,0,129
-599.052732355025,1191.14426029168,0,0,130
-569.099043848864,1131.58570935799,0,0,131
-539.145355342702,1072.02715842431,0,0,132
-509.191666836541,1012.46860749062,0,0,133
-479.23797833038,952.910056556937,0,0,134
-449.284289824219,893.351505623252,0,0,135
-419.330601318058,833.792954689568,0,0,136
-389.376912811896,774.234403755883,0,0,137
-359.423224305735,714.675852822198,0,0,138
-329.469535799574,655.117301888514,0,0,139
-299.515847293413,595.558750954829,0,0,140
-269.562158787252,536.000200021144,0,0,141
-239.60847028109,476.44164908746,0,0,142
-209.654781774929,416.883098153775,0,0,143
-179.701093268768,357.32454722009,0,0,144
-149.747404762607,297.765996286405,0,0,145
-119.793716256446,238.207445352721,0,0,146
-89.8400277502844,178.648894419036,0,0,147
-59.8863392441232,119.090343485351,0,0,148
-29.932650737962,59.5317925516667,0,0,149
2.10377681991793E-02,-2.67583820179435E-02,0,0,150
29.9747262743604,-59.5853093157026,0,0,151
59.9284147805216,-119.143860249387,0,0,152
89.8821032866828,-178.702411183072,0,0,153
119.835791792844,-238.260962116757,0,0,154
149.789480299005,-297.819513050441,0,0,155
179.743168805166,-357.378063984126,0,0,156
209.696857311328,-416.936614917811,0,0,157
239.650545817489,-476.495165851495,0,0,158
269.60423432365,-536.05371678518,0,0,159
299.557922829811,-595.612267718865,0,0,160
329.511611335972,-655.17081865255,0,0,161
359.465299842134,-714.729369586234,0,0,162
389.418988348295,-774.287920519919,0,0,163
419.372676854456,-833.846471453603,0,0,164
449.326365360617,-893.405022387288,0,0,165
479.280053866778,-952.963573320973,0,0,166
509.23374237294,-1012.52212425466,0,0,167
539.187430879101,-1072.08067518834,0,0,168
569.141119385262,-1131.63922612203,0,0,169
599.094807891423,-1191.19777705571,0,0,170
629.048496397584,-1250.7563279894,0,0,171
659.002184903746,-1310.31487892308,0,0,172
688.955873409907,-1369.87342985677,0,0,173
718.909561916068,-1429.43198079045,0,0,174
748.863250422229,-1488.99053172414,0,0,175
778.816938928391,-1548.54908265782,0,0,176
808.770627434552,-1608.1076335915,0,0,177
838.724315940713,-1667.66618452519,0,0,178
868.678004446874,-1727.22473545887,0,0,179
898.631692953035,-1786.78328639256,0,0,180
928.585381459196,-1846.34183732624,0,0,181
958.539069965358,-1905.90038825993,0,0,182
988.492758471519,-1965.45893919361,0,0,183
1018.44644697768,-2025.0174901273,0,0,184
1048.40013548384,-2084.57604106098,0,0,185
1078.35382399,-2144.13459199467,0,0,186
1108.30751249616,-2203.69314292835,0,0,187
1138.26120100233,-2263.25169386204,0,0,188
1168.21488950849,-2322.81024479572,0,0,189
1198.16857801465,-2382.36879572941,0,0,190
1228.12226652081,-2441.92734666309,0,0,191
1258.07595502697,-2501.48589759677,0,0,192
1288.02964353313,-2561.04444853046,0,0,193
1317.98333203929,-2620.60299946414,0,0,194
1347.93702054545,-2680.16155039783,0,0,195
1377.89070905161,-2739.72010133151,0,0,196
1407.84439755778,-2799.2786522652,0,0,197
1437.79808606394,-2858.83720319888,0,0,198
1467.7517745701,-2918.39575413257,0,0,199
1497.70546307626,-2977.95430506625,0,0,200
1527.65915158242,-3037.51285599994,0,0,201
1557.61284008858,-3097.07140693362,0,0,202
1587.56652859474,-3156.62995786731,0,0,203
1617.5202171009,-3216.18850880099,0,0,204
1647.47390560707,-3275.74705973468,0,0,205
1677.42759411323,-3335.30561066836,0,0,206
1707.38128261939,-3394.86416160204,0,0,207
1737.33497112555,-3454.42271253573,0,0,208
1767.28865963171,-3513.98126346941,0,0,209
1797.24234813787,-3573.5398144031,0,0,210
1827.19603664403,-3633.09836533678,0,0,211
1857.14972515019,-3692.65691627047,0,0,212
1887.10341365636,-3752.21546720415,0,0,213
1917.05710216252,-3811.77401813784,0,0,214
1947.01079066868,-3871.33256907152,0,0,215
1976.96447917484,-3930.89112000521,0,0,216
2006.918167681,-3990.44967093889,0,0,217
2036.87185618716,-4050.00822187258,0,0,218
2066.82554469332,-4109.56677280626,0,0,219
2096.77923319948,-4169.12532373995,0,0,220
2126.73292170564,-4228.68387467363,0,0,221
2156.68661021181,-4288.24242560732,0,0,222
2186.64029871797,-4347.800976541,0,0,223
2216.59398722413,-4407.35952747468,0,0,224
2246.54767573029,-4466.91807840837,0,0,225
2276.50136423645,-4526.47662934205,0,0,226
2306.45505274261,-4586.03518027574,0,0,227
2336.40874124877,-4645.59373120942,0,0,228
2366.36242975493,-4705.15228214311,0,0,229
2396.3161182611,-4764.71083307679,0,0,230
2426.26980676726,-4824.26938401048,0,0,231
2456.22349527342,-4883.82793494416,0,0,232
2486.17718377958,-4943.38648587785,0,0,233
2516.13087228574,-5002.94503681153,0,0,234
2546.0845607919,-5062.50358774522,0,0,235
2576.03824929806,-5122.0621386789,0,0,236
2605.99193780422,-5181.62068961259,0,0,237
2635.94562631039,-5241.17924054627,0,0,238
2665.89931481655,-5300.73779147996,0,0,239
2695.85300332271,-5360.29634241364,0,0,240
2725.80669182887,-5419.85489334732,0,0,241
2755.76038033503,-5479.41344428101,0,0,242
2785.71406884119,-5538.97199521469,0,0,243
2815.66775734735,-5598.53054614838,0,0,244
2845.62144585351,-5658.08909708206,0,0,245
2875.57513435967,-5717.64764801575,0,0,246
2905.52882286584,-5777.20619894943,0,0,247
2935.482511372,-5836.76474988312,0,0,248
2965.43619987816,-5896.3233008168,0,0,249
2995.38988838432,-5955.88185175049,0,0,250
3025.34357689048,-6015.44040268417,0,0,251
3055.29726539664,-6074.99895361786,0,0,252
3085.2509539028,-6134.55750455154,0,0,253
3115.20464240896,-6194.11605548522,0,0,254
3145.15833091513,-6253.67460641891,0,0,255
3175.11201942129,-6313.23315735259,0,0,256
3205.06570792745,-6372.79170828628,0,0,257
3235.01939643361,-6432.35025921996,0,0,258
3264.97308493977,-6491.90881015365,0,0,259
3294.92677344593,-6551.46736108733,0,0,260
3324.88046195209,-6611.02591202102,0,0,261
3354.83415045825,-6670.5844629547,0,0,262
3384.78783896442,-6730.14301388839,0,0,263
3414.74152747058,-6789.70156482207,0,0,264
3444.69521597674,-6849.26011575576,0,0,265
3474.6489044829,-6908.81866668944,0,0,266
3504.60259298906,-6968.37721762313,0,0,267
3534.55628149522,-7027.93576855681,0,0,268
3564.50997000138,-7087.4943194905,0,0,269
3594.46365850754,-7147.05287042418,0,0,270
3624.4173470137,-7206.61142135786,0,0,271
3654.37103551987,-7266.16997229155,0,0,272
3684.32472402603,-7325.72852322523,0,0,273
3714.27841253219,-7385.28707415892,0,0,274
3744.23210103835,-7444.8456250926,0,0,275
3774.18578954451,-7504.40417602629,0,0,276
3804.13947805067,-7563.96272695997,0,0,277
3834.09316655683,-7623.52127789366,0,0,278
3864.04685506299,-7683.07982882734,0,0,279
3894.00054356916,-7742.63837976103,0,0,280
3923.95423207532,-7802.19693069471,0,0,281
3953.90792058148,-7861.7554816284,0,0,282
3983.86160908764,-7921.31403256208,0,0,283
4013.8152975938,-7980.87258349577,0,0,284
4043.76898609996,-8040.43113442945,0,0,285
4073.72267460612,-8099.98968536313,0,0,286
4103.67636311228,-8159.54823629682,0,0,287
4133.63005161844,-8219.1067872305,0,0,288
4163.58374012461,-8278.66533816419,0,0,289
4193.53742863077,-8338.22388909788,0,0,290
4223.49111713693,-8397.78244003156,0,0,291
4253.44480564309,-8457.34099096524,0,0,292
4283.39849414925,-8516.89954189893,0,0,293
4313.35218265541,-8576.45809283261,0,0,294
4343.30587116157,-8636.0166437663,0,0,295
4373.25955966773,-8695.57519469998,0,0,296
4403.2132481739,-8755.13374563367,0,0,297
4433.16693668006,-8814.69229656735,0,0,298
4463.12062518622,-8874.25084750104,0,0,299
4493.07431369238,-8933.80939843472,0,0,300
0.178513695605918,-3.12684872898502E-02,0,1,0
0.185586958771597,-2.28139367491865E-02,0,1,1
0.191177932374829,-1.39498104285267E-02,0,1,2
0.195246685736989,-4.89938600472194E-03,0,1,3
0.197753288179449,4.11405884537668E-03,0,1,4
0.198657809023584,1.28672464449181E-02,0,1,5
0.197920317590766,2.11368991170513E-02,0,1,6
0.19550088320237,0.028699739184925,0,1,7
0.191359964682595,3.53327088471851E-02,0,1,8
0.185545001868804,4.08618513414004E-02,0,1,9
0.1782997106464,4.52240083141714E-02,0,1,10
0.169894710244049,4.83712084288614E-02,0,1,11
0.160600619890421,5.02554803488339E-02,0,1,12
0.150701668208288,5.08586542872914E-02,0,1,13
0.140540752302191,5.02910313996461E-02,0,1,14
0.130457396761662,4.86951054161517E-02,0,1,15
0.120594996841346,4.61886367133987E-02,0,1,16
0.11098208263323,4.28749000497043E-02,0,1,17
0.101645731874592,3.88569870272797E-02,0,1,18
9.26130223027079E-02,3.42379892483358E-02,0,1,19
8.39110316548567E-02,2.91209983150839E-02,0,1,20
7.55668376683156E-02,2.36091058297349E-02,0,1,21
6.76075180803619E-02,0.0178054033945,0,1,22
6.00601506282731E-02,1.18129826115902E-02,0,1,23
5.29518130493267E-02,5.73493508321666E-03,0,1,24
4.63095830808003E-02,-3.25647588409601E-04,0,1,25
4.01605384599713E-02,-6.26567380107748E-03,0,1,26
3.45317569241172E-02,-1.19820519525759E-02,0,1,27
2.94503162105156E-02,-1.73716904406938E-02,0,1,28
2.49432940564437E-02,-0.02233149766322,0,1,29
2.10377681991793E-02,-2.67583820179435E-02,0,1,30
2.12732606474297E-02,-2.72266244840003E-02,0,2,0
0.025929927672686,-2.95035650483984E-02,0,2,1
3.04887681812552E-02,-3.19770575424171E-02,0,2,2
3.49630239769295E-02,-3.46201756306869E-02,0,2,3
3.93659368635008E-02,-3.74059929778383E-02,0,2,4
0.043710748644761,-4.03075832485018E-02,0,2,5
4.80107011245022E-02,-4.32980201073079E-02,0,2,6
5.22790361065162E-02,-4.63503772188872E-02,0,2,7
0.056528995394595,-4.94377282478703E-02,0,2,8
6.07738207925306E-02,-5.25331468588875E-02,0,2,9
6.50267541041149E-02,-5.56097067165693E-02,0,2,10
0.06930103713314,-5.86404814855465E-02,0,2,11
7.36099116833977E-02,-6.15985448304494E-02,0,2,12
0.07796661955868,-6.44569704159085E-02,0,2,13
0.082384402562779,-6.71888319065545E-02,0,2,14
8.68765024994864E-02,-6.97672029670177E-02,0,2,15
9.14561611725944E-02,-7.21651572619287E-02,0,2,16
9.61365834204248E-02,-7.43558330826071E-02,0,2,17
0.100923374544105,-0.076325654982553,0,2,18
0.105805299278341,-7.80904898582728E-02,0,2,19
0.110768861436563,-7.96701573723506E-02,0,2,20
0.1158005648322,-8.10844771873702E-02,0,2,21
0.120886913278684,-8.23532689659157E-02,0,2,22
0.126014410589445,-0.083496352370571,0,2,23
0.131169560577913,-8.45335470639201E-02,0,2,24
0.136338867057518,-0.085484672708547,0,2,25
0.141508833841692,-8.63695489670357E-02,0,2,26
0.146665964743864,-0.08720799550197,0,2,27
0.151796763577464,-0.088019831975934,0,2,28
0.156887734155924,-8.88248780515117E-02,0,2,29
0.161925380292674,-0.089642953391287,0,2,30
0.161925380292674,-0.089642953391287,0,3,0
0.162927377982303,-8.73362998706114E-02,0,3,1
0.163896123937968,-8.50627387541686E-02,0,3,2
0.164831862713584,-0.082821390717741,0,3,3
0.165734838863067,-8.06113764371115E-02,0,3,4
0.166605296940333,-7.84318165880627E-02,0,3,5
0.167443481499299,-7.62818318463773E-02,0,3,6
0.16824963709388,-7.41605428878379E-02,0,3,7
0.169024008277992,-7.20670703882272E-02,0,3,8
0.169766839605552,-7.00005350233279E-02,0,3,9
0.170478375630475,-6.79600574689226E-02,0,3,10
0.171158860906678,-6.59447584007941E-02,0,3,11
0.171808539988076,-6.39537584947249E-02,0,3,12
0.172427657428585,-6.19861784264978E-02,0,3,13
0.173016457782122,-6.00411388718955E-02,0,3,14
0.173575185602602,-5.81177605067005E-02,0,3,15
0.174104085443942,-5.62151640066956E-02,0,3,16
0.174603401860058,-5.43324700476635E-02,0,3,17
0.175073379404864,-5.24687993053868E-02,0,3,18
0.175514262632279,-5.06232724556481E-02,0,3,19
0.175926296096217,-4.87950101742302E-02,0,3,20
0.176309724350594,-4.69831331369157E-02,0,3,21
0.176664791949327,-4.51867620194873E-02,0,3,22
0.176991743446332,-4.34050174977277E-02,0,3,23
0.177290823395525,-4.16370202474195E-02,0,3,24
0.177562276350821,-3.98818909443455E-02,0,3,25
0.177806346866136,-3.81387502642881E-02,0,3,26
0.178023279495388,-3.64067188830303E-02,0,3,27
0.178213318792491,-3.46849174763545E-02,0,3,28
0.178376709311362,-3.29724667200436E-02,0,3,29
0.178513695605916,-3.12684872898801E-02,0,3,30
